country,flunet_country,region
Afghanistan,Afghanistan,eastern mediterranean
Albania,Albania,europe
Algeria,Algeria,africa
Angola,Angola,africa
Anguilla,Anguilla,americas
Antigua and Barbuda,Antigua and Barbuda,americas
Argentina,Argentina,americas
Armenia,Armenia,europe
Aruba,Aruba,americas
Australia,Australia,western pacific
Austria,Austria,europe
Azerbaijan,Azerbaijan,europe
Bahamas,Bahamas,americas
Bahrain,Bahrain,eastern mediterranean
Bangladesh,Bangladesh,southeast asia
Barbados,Barbados,americas
Belarus,Belarus,europe
Belgium,Belgium,europe
Belize,Belize,americas
Bermuda,Bermuda,americas
Bhutan,Bhutan,southeast asia
Bolivia,Bolivia (Plurinational State of),americas
Bosnia and Herzegovina,Bosnia and Herzegovina,europe
Brazil,Brazil,americas
British Virgin Islands,British Virgin Islands,americas
Bulgaria,Bulgaria,europe
Burkina Faso,Burkina Faso,africa
Cabo Verde,Cabo Verde,africa
Cambodia,Cambodia,western pacific
Cameroon,Cameroon,africa
Canada,Canada,americas
Cayman Islands,Cayman Islands,americas
Central African Republic,Central African Republic,africa
Chad,Chad,africa
Chile,Chile,americas
China,China,western pacific
Colombia,Colombia,americas
Congo,Congo,africa
Costa Rica,Costa Rica,americas
Cote d'Ivoire,Cote d'Ivoire,africa
Croatia,Croatia,europe
Cuba,Cuba,americas
Cyprus,Cyprus,europe
Czechia,Czechia,europe
Democratic Republic of Congo,Democratic Republic of the Congo,africa
Denmark,Denmark,europe
Dominica,Dominica,americas
Dominican Republic,Dominican Republic,americas
Ecuador,Ecuador,americas
Egypt,Egypt,eastern mediterranean
El Salvador,El Salvador,americas
Estonia,Estonia,europe
Ethiopia,Ethiopia,africa
Fiji,Fiji,western pacific
Finland,Finland,europe
France,France,europe
French Guiana,French Guiana,americas
Gambia,Gambia,africa
Georgia,Georgia,europe
Germany,Germany,europe
Ghana,Ghana,africa
Greece,Greece,europe
Grenada,Grenada,americas
Guadeloupe,Guadeloupe,americas
Guatemala,Guatemala,americas
Guinea,Guinea,africa
Guinea-Bissau,Guinea-Bissau,africa
Guyana,Guyana,americas
Haiti,Haiti,americas
Honduras,Honduras,americas
Hungary,Hungary,europe
Iceland,Iceland,europe
India,India,southeast asia
Indonesia,Indonesia,southeast asia
Iran,Iran (Islamic Republic of),eastern mediterranean
Iraq,Iraq,eastern mediterranean
Ireland,Ireland,europe
Israel,Israel,europe
Italy,Italy,europe
Jamaica,Jamaica,americas
Japan,Japan,western pacific
Jordan,Jordan,eastern mediterranean
Kazakhstan,Kazakhstan,europe
Kenya,Kenya,africa
Kosovo,Kosovo (in accordance with Security Council resolution 1244 (1999)),europe
Kuwait,Kuwait,eastern mediterranean
Kyrgyzstan,Kyrgyzstan,europe
Laos,Lao People's Democratic Republic,western pacific
Latvia,Latvia,europe
Lebanon,Lebanon,eastern mediterranean
Lithuania,Lithuania,europe
Luxembourg,Luxembourg,europe
Madagascar,Madagascar,africa
Malaysia,Malaysia,western pacific
Maldives,Maldives,southeast asia
Mali,Mali,africa
Malta,Malta,europe
Martinique,Martinique,americas
Mauritania,Mauritania,africa
Mauritius,Mauritius,africa
Mexico,Mexico,americas
Moldova,Republic of Moldova,europe
Mongolia,Mongolia,western pacific
Montenegro,Montenegro,europe
Morocco,Morocco,eastern mediterranean
Mozambique,Mozambique,africa
Myanmar,Myanmar,southeast asia
Namibia,Namibia,africa
Nepal,Nepal,southeast asia
Netherlands,Netherlands,europe
New Caledonia,New Caledonia,western pacific
New Zealand,New Zealand,western pacific
Nicaragua,Nicaragua,americas
Niger,Niger,africa
Nigeria,Nigeria,africa
North Korea,Democratic People's Republic of Korea,southeast asia
North Macedonia,North Macedonia,europe
Norway,Norway,europe
Oman,Oman,eastern mediterranean
Pakistan,Pakistan,eastern mediterranean
Palestine,West Bank and Gaza Strip,eastern mediterranean
Panama,Panama,americas
Papua New Guinea,Papua New Guinea,western pacific
Paraguay,Paraguay,americas
Peru,Peru,americas
Philippines,Philippines,western pacific
Poland,Poland,europe
Portugal,Portugal,europe
Qatar,Qatar,eastern mediterranean
Romania,Romania,europe
Russia,Russian Federation,europe
Rwanda,Rwanda,africa
Saint Kitts and Nevis,Saint Kitts and Nevis,americas
Saint Lucia,Saint Lucia,americas
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,americas
Saudi Arabia,Saudi Arabia,eastern mediterranean
Senegal,Senegal,africa
Serbia,Serbia,europe
Seychelles,Seychelles,africa
Sierra Leone,Sierra Leone,africa
Singapore,Singapore,western pacific
Slovakia,Slovakia,europe
Slovenia,Slovenia,europe
South Africa,South Africa,africa
South Korea,Republic of Korea,western pacific
South Sudan,South Sudan,africa
Spain,Spain,europe
Sri Lanka,Sri Lanka,southeast asia
Sudan,Sudan,eastern mediterranean
Suriname,Suriname,americas
Sweden,Sweden,europe
Switzerland,Switzerland,europe
Syria,Syrian Arab Republic,eastern mediterranean
Tajikistan,Tajikistan,europe
Tanzania,United Republic of Tanzania,africa
Thailand,Thailand,southeast asia
Timor,Timor-Leste,southeast asia
Togo,Togo,africa
Trinidad and Tobago,Trinidad and Tobago,americas
Tunisia,Tunisia,eastern mediterranean
Turkey,Turkey,europe
Turkmenistan,Turkmenistan,europe
Turks and Caicos,Turks and Caicos Is.,americas
Uganda,Uganda,africa
Ukraine,Ukraine,europe
United Arab Emirates,United Arab Emirates,eastern mediterranean
United Kingdom,United Kingdom of Great Britain and Northern Ireland,europe
United States,United States of America,americas
Uruguay,Uruguay,americas
Uzbekistan,Uzbekistan,europe
Venezuela,Venezuela (Bolivarian Republic of),americas
Vietnam,Viet Nam,western pacific
Yemen,Yemen,eastern mediterranean
Zambia,Zambia,africa
Zimbabwe,Zimbabwe,africa
